Topics;Alpha;Beta;Coherence
35;0.31;0.9099999999999999;
35;0.31;symmetric;
35;0.61;0.01;
35;0.61;0.31;
35;0.61;0.61;
35;0.61;0.9099999999999999;
35;0.61;symmetric;
35;0.9099999999999999;0.01;
35;0.9099999999999999;0.31;0.4445510276575716
35;0.9099999999999999;0.61;
35;0.9099999999999999;0.9099999999999999;0.4527850728098856
35;0.9099999999999999;symmetric;
35;symmetric;0.01;
35;symmetric;0.31;
35;symmetric;0.61;
35;symmetric;0.9099999999999999;
35;symmetric;symmetric;
35;asymmetric;0.01;
35;asymmetric;0.31;
35;asymmetric;0.61;
35;asymmetric;0.9099999999999999;
35;asymmetric;symmetric;
36;0.01;0.01;
36;0.01;0.31;
36;0.01;0.61;
36;0.01;0.9099999999999999;
36;0.01;symmetric;
36;0.31;0.01;
36;0.31;0.31;
36;0.31;0.61;
36;0.31;0.9099999999999999;
36;0.31;symmetric;
36;0.61;0.01;
36;0.61;0.31;
36;0.61;0.61;
36;0.61;0.9099999999999999;
36;0.61;symmetric;
36;0.9099999999999999;0.01;0.45160793365479246
36;0.9099999999999999;0.31;
36;0.9099999999999999;0.61;0.45730479310769173
36;0.9099999999999999;0.9099999999999999;0.45297073083424105
36;0.9099999999999999;symmetric;
36;symmetric;0.01;
36;symmetric;0.31;
36;symmetric;0.61;
36;symmetric;0.9099999999999999;
36;symmetric;symmetric;
36;asymmetric;0.01;
36;asymmetric;0.31;
36;asymmetric;0.61;
36;asymmetric;0.9099999999999999;
36;asymmetric;symmetric;
37;0.01;0.01;
37;0.01;0.31;
37;0.01;0.61;
37;0.01;0.9099999999999999;
37;0.01;symmetric;
37;0.31;0.01;
37;0.31;0.31;
37;0.31;0.61;
37;0.31;0.9099999999999999;
37;0.31;symmetric;
37;0.61;0.01;
37;0.61;0.31;
37;0.61;0.61;
37;0.61;0.9099999999999999;
37;0.61;symmetric;
37;0.9099999999999999;0.01;
37;0.9099999999999999;0.31;0.4508944300640997
37;0.9099999999999999;0.61;
