Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,4,asymmetric,symmetric,0.4691408044271478
100% Corpus,5,0.01,0.01,0.433924982174337
100% Corpus,5,0.01,0.31,0.4435064280091516
100% Corpus,5,0.01,0.61,0.437623320406035
100% Corpus,5,0.01,0.9099999999999999,0.4444161113048885
100% Corpus,5,0.01,symmetric,0.432641690251
100% Corpus,5,0.31,0.01,0.45803404753744614
100% Corpus,5,0.31,0.31,0.4626161997749144
100% Corpus,5,0.31,0.61,0.48013124727278367
100% Corpus,5,0.31,0.9099999999999999,0.483722496062761
100% Corpus,5,0.31,symmetric,0.4504151483321987
100% Corpus,5,0.61,0.01,0.4721402755478685
100% Corpus,5,0.61,0.31,0.4673487203966231
100% Corpus,5,0.61,0.61,0.4778957775564957
100% Corpus,5,0.61,0.9099999999999999,0.4682605621175397
100% Corpus,5,0.61,symmetric,0.4665957804120436
100% Corpus,5,0.9099999999999999,0.01,0.4857595251496204
100% Corpus,5,0.9099999999999999,0.31,0.4870761371071096
100% Corpus,5,0.9099999999999999,0.61,0.4754793672421929
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.4919974582026465
100% Corpus,5,0.9099999999999999,symmetric,0.48398136281310417
100% Corpus,5,symmetric,0.01,0.4491616427645348
100% Corpus,5,symmetric,0.31,0.44757846608363233
100% Corpus,5,symmetric,0.61,0.46580696071620203
100% Corpus,5,symmetric,0.9099999999999999,0.48043425000725354
100% Corpus,5,symmetric,symmetric,0.4539360226115356
100% Corpus,5,asymmetric,0.01,0.4576289810203201
100% Corpus,5,asymmetric,0.31,0.46770930476722794
100% Corpus,5,asymmetric,0.61,0.4960833988070859
100% Corpus,5,asymmetric,0.9099999999999999,0.49587653086006866
100% Corpus,5,asymmetric,symmetric,0.4591856378243788
100% Corpus,6,0.01,0.01,0.4395895747014776
100% Corpus,6,0.01,0.31,0.48171323985143727
100% Corpus,6,0.01,0.61,0.49829485907870685
100% Corpus,6,0.01,0.9099999999999999,0.46431852601670004
100% Corpus,6,0.01,symmetric,0.42283333350888835
100% Corpus,6,0.31,0.01,0.42879008714674116
100% Corpus,6,0.31,0.31,0.44545633272755086
100% Corpus,6,0.31,0.61,0.4771561624140171
100% Corpus,6,0.31,0.9099999999999999,0.48153002928631256
100% Corpus,6,0.31,symmetric,0.43248816161197307
100% Corpus,6,0.61,0.01,0.4456029117810501
100% Corpus,6,0.61,0.31,0.4445814644429438
100% Corpus,6,0.61,0.61,0.4652379083325591
100% Corpus,6,0.61,0.9099999999999999,0.48103864023951637
100% Corpus,6,0.61,symmetric,0.4364363749789257
100% Corpus,6,0.9099999999999999,0.01,0.5000010819990613
100% Corpus,6,0.9099999999999999,0.31,0.4471819553553127
100% Corpus,6,0.9099999999999999,0.61,0.45946367973618324
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.48624545825560683
100% Corpus,6,0.9099999999999999,symmetric,0.4619583506502584
100% Corpus,6,symmetric,0.01,0.4405495413187719
100% Corpus,6,symmetric,0.31,0.4357779834865443
100% Corpus,6,symmetric,0.61,0.49872773467151194
100% Corpus,6,symmetric,0.9099999999999999,0.4752339153329357
100% Corpus,6,symmetric,symmetric,0.4245739125907559
100% Corpus,6,asymmetric,0.01,0.488158104466103
100% Corpus,6,asymmetric,0.31,0.5098251796356944
100% Corpus,6,asymmetric,0.61,0.4961043015441338
100% Corpus,6,asymmetric,0.9099999999999999,0.4753852384389767
100% Corpus,6,asymmetric,symmetric,0.4478013277831859
100% Corpus,7,0.01,0.01,0.4747684151485702
100% Corpus,7,0.01,0.31,0.46956880446625815
100% Corpus,7,0.01,0.61,0.49225894016056404
100% Corpus,7,0.01,0.9099999999999999,0.505708096753233
100% Corpus,7,0.01,symmetric,0.47306924560030394
100% Corpus,7,0.31,0.01,0.45267364540115507
100% Corpus,7,0.31,0.31,0.487778228462376
100% Corpus,7,0.31,0.61,0.5011772362054775
100% Corpus,7,0.31,0.9099999999999999,0.5134275729283633
100% Corpus,7,0.31,symmetric,0.45914352882039994
100% Corpus,7,0.61,0.01,0.4783865804760397
100% Corpus,7,0.61,0.31,0.4959339309715035
100% Corpus,7,0.61,0.61,0.5001722400813493
100% Corpus,7,0.61,0.9099999999999999,0.5681007375827376
100% Corpus,7,0.61,symmetric,0.4837219575010109
100% Corpus,7,0.9099999999999999,0.01,0.5166024265260558
100% Corpus,7,0.9099999999999999,0.31,0.5064170344432005
100% Corpus,7,0.9099999999999999,0.61,0.5176400444438931
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.5573755485506264
100% Corpus,7,0.9099999999999999,symmetric,0.5024458335381999
100% Corpus,7,symmetric,0.01,0.4598111766448397
100% Corpus,7,symmetric,0.31,0.4581156696692979
100% Corpus,7,symmetric,0.61,0.4702977563224149
100% Corpus,7,symmetric,0.9099999999999999,0.48021068807701583
100% Corpus,7,symmetric,symmetric,0.47086928350660623
100% Corpus,7,asymmetric,0.01,0.4650967068035245
100% Corpus,7,asymmetric,0.31,0.5015352063256185
100% Corpus,7,asymmetric,0.61,0.48714074791498874
100% Corpus,7,asymmetric,0.9099999999999999,0.4871462978926381
100% Corpus,7,asymmetric,symmetric,0.4873137840846236
100% Corpus,8,0.01,0.01,0.47817769558857603
100% Corpus,8,0.01,0.31,0.46989230242865254
100% Corpus,8,0.01,0.61,0.5013560797491335
100% Corpus,8,0.01,0.9099999999999999,0.5414091511816543
100% Corpus,8,0.01,symmetric,0.44728846230287345
100% Corpus,8,0.31,0.01,0.49358565884459554
100% Corpus,8,0.31,0.31,0.4830565993060694
100% Corpus,8,0.31,0.61,0.5135369406333625
100% Corpus,8,0.31,0.9099999999999999,0.5011226273737767
100% Corpus,8,0.31,symmetric,0.44751510473729716
100% Corpus,8,0.61,0.01,0.5051891291812568
100% Corpus,8,0.61,0.31,0.5027608525844605
100% Corpus,8,0.61,0.61,0.5153070536647353
100% Corpus,8,0.61,0.9099999999999999,0.5457885092098753
100% Corpus,8,0.61,symmetric,0.49306562112587726
100% Corpus,8,0.9099999999999999,0.01,0.5315377952470659
100% Corpus,8,0.9099999999999999,0.31,0.5063893481628965
100% Corpus,8,0.9099999999999999,0.61,0.5158320950039662
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.5596891731990863
100% Corpus,8,0.9099999999999999,symmetric,0.49925646255065254
100% Corpus,8,symmetric,0.01,0.47880816950004024
100% Corpus,8,symmetric,0.31,0.47825719375713144
100% Corpus,8,symmetric,0.61,0.5225282092637284
100% Corpus,8,symmetric,0.9099999999999999,0.4982589860360846
100% Corpus,8,symmetric,symmetric,0.44242539117072244
100% Corpus,8,asymmetric,0.01,0.52857169742838
100% Corpus,8,asymmetric,0.31,0.5176784372557134
100% Corpus,8,asymmetric,0.61,0.5188156682663732
100% Corpus,8,asymmetric,0.9099999999999999,0.5186602545253184
100% Corpus,8,asymmetric,symmetric,0.5149593645732753
100% Corpus,9,0.01,0.01,0.4732625936232629
100% Corpus,9,0.01,0.31,0.47094180782738676
100% Corpus,9,0.01,0.61,0.503367457775253
100% Corpus,9,0.01,0.9099999999999999,0.4518745633476826
100% Corpus,9,0.01,symmetric,0.436736437914062
100% Corpus,9,0.31,0.01,0.46687428406363934
100% Corpus,9,0.31,0.31,0.4728066006785373
100% Corpus,9,0.31,0.61,0.4593598299251174
